session_id,dataset_id,legacy_dataset_name,current_raw_path,target_raw_path,mapping_scope,migration_status,notes
session_2026-04-21_23-31-18,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-21_23-31-18/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-21_23-31-18/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-21_23-50-09,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-21_23-50-09/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-21_23-50-09/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-21_23-56-02,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-21_23-56-02/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-21_23-56-02/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-21_23-58-28,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-21_23-58-28/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-21_23-58-28/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-28_17-40-12,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-28_17-40-12/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-28_17-40-12/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-28_17-40-53,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-28_17-40-53/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-28_17-40-53/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-28_17-42-24,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-28_17-42-24/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-28_17-42-24/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-28_17-43-17,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-28_17-43-17/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-28_17-43-17/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-28_17-44-37,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-28_17-44-37/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-28_17-44-37/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
session_2026-04-28_17-46-06,ds_legacy_dataset1,dataset1,gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/session_2026-04-28_17-46-06/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/session_2026-04-28_17-46-06/,session_root,planned,Exact 1-to-1 raw-session mapping generated from session_catalog.csv. Source tree remains authoritative until target copy is verified.
