session,radar_index,radar_vx,radar_vy,radar_vz,camera_vx,camera_vy,camera_vz,camera_wx,camera_wy,camera_wz
session_2026-08-27_20-18-44,6,0.25762584815358114,0.03291940609034294,0.7423485742118958,-0.09617479113288396,0.12071670797674978,0.00389414513009444,0.03184325753434866,0.027462810032734226,-0.016239293882606805
session_2026-08-27_20-18-44,7,0.44929530643937843,0.13411323278245565,0.23995653280662518,-0.09618813866205897,0.12070674928312407,0.003873120024156699,0.03184325753434866,0.027462810032734226,-0.016239293882606805
session_2026-08-27_20-18-44,8,0.15496851624229988,0.008304504452413125,-0.6456694643335635,-0.09620148192870483,0.1206967880749983,0.0038520934038530374,0.03184325753434866,0.027462810032734226,-0.016239293882606805
session_2026-08-27_20-18-44,9,0.03223710757204449,-0.1826065991482851,-0.5586533551970897,-0.09642766481392721,0.12052706317810566,0.0034944099195441006,0.03184325753434866,0.027462810032734226,-0.016239293882606805
session_2026-08-27_20-18-44,10,-0.18170345989624379,0.11692241432101692,-1.149328590747416,-0.09676133378489485,0.12027363465424426,0.0029623456445064637,0.03184325753434866,0.027462810032734226,-0.016239293882606805
session_2026-08-27_20-18-44,11,-0.2991261575217772,0.09813797819377812,-1.2676069859946437,-0.16667466112325566,0.10419247605212817,0.0022999510406816726,0.030366656866482787,0.0445418482827019,-0.011608634344067557
session_2026-08-27_20-18-44,12,0.490795273521018,0.14923383274141763,-0.04242016471882627,-0.12968491748069177,-0.05771225375361877,-0.009419254541701413,-0.016257237431415487,0.0360928861370431,-0.012368224245952655
session_2026-08-27_20-18-44,13,0.22061887501379984,0.1317391465984315,-0.4788725331317366,-0.1902404505537802,0.10710634527742548,0.05841431873424053,0.02737642285459591,0.043195940363001964,-0.015369762389536577
session_2026-08-27_20-18-44,14,0.1463266910340641,0.04840027730441257,-0.9100562427578388,-0.1901495533825706,0.10708409957725021,0.058750096382187374,0.02737642285459591,0.043195940363001964,-0.015369762389536577
session_2026-08-27_20-18-44,15,-0.1003893182930213,0.13135857001628456,-0.8603672018382832,-0.24554605739864394,0.12889431878805768,-0.010478861396642737,0.04037094372405821,0.062496706624189574,-0.022006997126119057
session_2026-08-27_20-18-44,16,0.025064506018441433,0.13340355800180506,-1.0708798500077161,0.009569828307675277,0.021095256548791696,-0.13452075810811814,0.01882265041951529,0.007688872016383267,-0.0028555328430858356
